"MouseID","Exp_V0","Exp_r","Log_K","Log_r","Log_tm","Gom_K","Gom_r","Gom_tm"
"a262",46.0722636364331,0.0102268385298146,97.2346969475676,0.0265753704800845,6.24818187178734,121.458908925209,0.0143195683452084,0
"a897",43.7490655688381,0.0108605296201397,141.120182707126,0.0181998946324219,45,191.377334055295,0.00889135496310894,45
"c282",43.9635465497215,0.00924961786126087,132.268200440142,0.0158455942471835,45,179.510854189062,0.00778322906120519,45
"c757",44.7302348701859,0.00982111677683211,137.957529577625,0.0166969015930243,45,187.187350729683,0.00818648180346819,45
"c766",44.4279253326148,0.010374513030186,140.39944158338,0.0175375952574343,45,190.454766154077,0.00858343436993764,45
"e227",45.3416918280064,0.0109302936984987,146.889784593394,0.0184066431699375,45,199.26585138946,0.00900399927397517,45
"i669",45.0293414066796,0.00639050072382091,105.492366705449,0.0118805960761608,25,143.362935577517,0.00591929407626856,25
"j235",44.7238208923834,0.008426195352116,105.697912816223,0.0156201743773688,20,143.638970671428,0.00777840047166239,20
"n763",44.0260394473071,0.00715664137741447,116.697376466039,0.0127143485326155,40,158.507287033012,0.00629255654820318,40
"o302",45.0954837446689,0.0108644906258132,124.294795643407,0.019082526990089,30,168.802386879302,0.00942499683157231,30
"o795",47.0858438207122,0.0106903693541062,87.3547291449761,0.0387925968154092,0,122.131363039995,0.0161054207209543,0
"q582",44.9439027070309,0.00538170839158833,89.540605858728,0.012114173064195,0,121.743353193124,0.00600674176684737,0
"q787",43.8532218973535,0.00860600101592409,128.053171661038,0.0147191180649658,45,173.771831207316,0.00723061559233452,45
"s152",44.9357607344347,0.0151048332440514,96.7588818619602,0.0354442916957101,4.89109902308298,121.956509265761,0.0190698708859847,0.753781964349208
"t718",44.0079513445868,0.00851832105891123,128.311377904315,0.0147757759945491,45,174.204274442777,0.00727748013850981,45
"t994",45.5823681295645,0.0111173184603612,90.6261273559304,0.0258858670545373,0,123.262875982376,0.0127667208308261,0
"w167",45.5345220205249,0.0120715321188041,137.949461319189,0.0207000806730401,35,187.248381086876,0.0101702061500395,35
"x773",44.3155892431843,0.00600659694405379,115.631354274836,0.0107186892870986,45,157.075905378901,0.00531096994875966,45
"y478",47.004573589507,0.00813583028638345,92.0829990796831,0.021725158189957,0,125.62041840998,0.0103967915085602,0
